 ,problem,size,size_cat,solver,budget,dist_type,name_type,rep,fx,norm_fx,pheno
101,OneMax,8,small,hill_climber,20,coarse,str,1,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
102,OneMax,8,small,hill_climber,20,coarse,str,2,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
103,OneMax,8,small,hill_climber,20,coarse,str,3,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 1, 0]"
104,OneMax,8,small,hill_climber,20,coarse,str,4,7.0,0.7484276729559748,"[1, 1, 1, 1, 0, 1, 1, 1]"
105,OneMax,8,small,hill_climber,20,coarse,str,5,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 1, 0]"
106,OneMax,8,small,hill_climber,20,coarse,str,6,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
107,OneMax,8,small,hill_climber,20,coarse,str,7,7.0,0.7484276729559748,"[1, 1, 0, 1, 1, 1, 1, 1]"
108,OneMax,8,small,hill_climber,20,coarse,str,8,6.0,0.49685534591194963,"[1, 0, 1, 1, 0, 1, 1, 1]"
109,OneMax,8,small,hill_climber,20,coarse,str,9,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
110,OneMax,8,small,hill_climber,20,coarse,str,10,5.0,0.24528301886792447,"[1, 1, 0, 0, 0, 1, 1, 1]"
111,OneMax,8,small,hill_climber,20,coarse,str,11,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
112,OneMax,8,small,hill_climber,20,coarse,str,12,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 1, 0]"
113,OneMax,8,small,hill_climber,20,coarse,str,13,7.0,0.7484276729559748,"[1, 1, 1, 1, 0, 1, 1, 1]"
114,OneMax,8,small,hill_climber,20,coarse,str,14,7.0,0.7484276729559748,"[0, 1, 1, 1, 1, 1, 1, 1]"
115,OneMax,8,small,hill_climber,20,coarse,str,15,4.0,-0.006289308176100719,"[1, 1, 1, 0, 0, 1, 0, 0]"
116,OneMax,8,small,hill_climber,20,coarse,str,16,6.0,0.49685534591194963,"[0, 1, 0, 1, 1, 1, 1, 1]"
117,OneMax,8,small,hill_climber,20,coarse,str,17,6.0,0.49685534591194963,"[1, 1, 0, 1, 1, 1, 0, 1]"
118,OneMax,8,small,hill_climber,20,coarse,str,18,6.0,0.49685534591194963,"[1, 1, 1, 0, 0, 1, 1, 1]"
119,OneMax,8,small,hill_climber,20,coarse,str,19,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
120,OneMax,8,small,hill_climber,20,fine,lin,0,7.0,0.7484276729559748,"[0, 1, 1, 1, 1, 1, 1, 1]"
121,OneMax,8,small,hill_climber,20,fine,lin,1,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
122,OneMax,8,small,hill_climber,20,fine,lin,2,7.0,0.7484276729559748,"[1, 1, 0, 1, 1, 1, 1, 1]"
123,OneMax,8,small,hill_climber,20,fine,lin,3,6.0,0.49685534591194963,"[0, 1, 0, 1, 1, 1, 1, 1]"
124,OneMax,8,small,hill_climber,20,fine,lin,4,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
125,OneMax,8,small,hill_climber,20,fine,lin,5,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 0, 1]"
126,OneMax,8,small,hill_climber,20,fine,lin,6,6.0,0.49685534591194963,"[1, 1, 0, 0, 1, 1, 1, 1]"
127,OneMax,8,small,hill_climber,20,fine,lin,7,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
128,OneMax,8,small,hill_climber,20,fine,lin,8,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
